hotel_market,interactions,bookings,unique_users,unique_bookers,segment_name,segment_value,booking_rate,share_of_users,share_of_interactions,gap_from_mean,potential_bookings,hotel_country
21,43465,2015,6386,23797,hotel_market,21,0.046359139537558956,0.0009532016215473122,0.0007829668775738471,-0.03754276046803049,1631.7960837429453,77
22,152306,10042,16934,95496,hotel_market,22,0.06593305582183237,0.002527641130485779,0.002743599522736969,-0.017968844183757077,2736.7627822513055,105
23,56185,3678,6267,35524,hotel_market,23,0.06546231200498354,0.0009354391735416545,0.0010121015533529644,-0.01843958800060591,1036.0282518140432,17
24,173052,11065,19110,107659,hotel_market,24,0.06394031851697755,0.0028524401797320915,0.0031173124145383504,-0.019961581488611893,3454.3915997672652,144
25,1005,127,224,635,hotel_market,25,0.1263681592039801,3.343519624594393e-05,1.810380103443498e-05,0.04246625919839064,-42.6785904943826,7
26,27199,2180,4809,16705,hotel_market,26,0.08015000551490864,0.0007178118694051087,0.000489955506801589,-0.003751894490680807,102.04777825202727,11
27,969969,35920,76706,563086,hotel_market,27,0.037032111335516905,0.011449465014470424,0.017472761975691406,-0.04686978867007254,45462.24204652159,204
28,197270,8888,20009,113153,hotel_market,28,0.045055000760379174,0.0029866287575227328,0.0035535689851373016,-0.03884689924521027,7663.32781410263,169
29,657927,26873,53437,375630,hotel_market,29,0.040844956963310516,0.007976234740154044,0.011851720898689256,-0.04305694304227893,28328.32536497745,105
30,36739,1767,4035,21783,hotel_market,30,0.04809602874329731,0.0006022813252338561,0.000661806513635927,-0.035805871262292135,1315.4719043053508,17
31,2954,314,534,1892,hotel_market,31,0.10629654705484089,7.970711962202705e-05,5.3212565428578035e-05,0.02239464704925144,-66.15378738348875,11
32,89474,5390,10271,51982,hotel_market,32,0.060240963855421686,0.0015330933064379023,0.0016117606903035177,-0.02366093615016776,2117.03860110011,21
33,13401,991,1993,8191,hotel_market,33,0.07394970524587717,0.00029748368802752793,0.00024140202752483895,-0.009952194759712277,133.36936197490422,58
34,1578,215,376,1150,hotel_market,34,0.13624841571609633,5.612336512712017e-05,2.8425669683918803e-05,0.052346515710506886,-82.60280179117987,11
35,260750,10192,26309,152339,hotel_market,35,0.039087248322147654,0.003926993651939906,0.00469708071614818,-0.04481465168344179,11685.420426457447,105
36,173294,9035,18316,99329,hotel_market,36,0.052136831050122914,0.002733924350181737,0.0031216717377725127,-0.03176506895546653,5504.695859568617,107
37,8722,734,1267,5534,hotel_market,37,0.08415501031873424,0.00018911782876612036,0.000157115773753574,0.0002531103131447887,-2.207628151248847,212
38,39710,3048,4600,23847,hotel_market,38,0.0767564845127172,0.0006866156371934915,0.0007153253125148388,-0.007145415492872245,283.74444922195687,15
39,70872,5439,9826,46322,hotel_market,39,0.07674398916356248,0.0014666707067528797,0.0012766692407089311,-0.0071579108420269655,507.2954571961351,46
40,21497,349,3315,11085,hotel_market,40,0.016234823463739126,0.0004948110515861792,0.0003872412048131828,-0.06766707654185032,1454.6391444201563,26
41,7821,520,1366,4855,hotel_market,41,0.06648766142437028,0.00020389499139267594,0.00014088540088588654,-0.01741423858121917,136.1967599437151,104
42,2674,194,437,1578,hotel_market,42,0.07255048616305161,6.522848553338168e-05,4.8168720364257845e-05,-0.011351413842537836,30.353680614946175,104
43,58550,3940,7189,37283,hotel_market,43,0.06729291204099061,0.001073060829518263,0.0010547040304140975,-0.016608987964598837,972.4562453272619,34
44,104044,2647,12826,58467,hotel_market,44,0.025441159509438316,0.0019144635136182002,0.0018742207709718935,-0.05846074049615113,6082.489284181548,5
45,13826,1137,1871,8512,hotel_market,45,0.0822363662664545,0.0002792734472150049,0.0002490578637831821,-0.0016655337391349445,23.027669477279744,104
46,619953,26138,38876,351506,hotel_market,46,0.04216126061169153,0.005802797719898733,0.011167667425573203,-0.04174063939389792,25877.234614165194,182
47,117435,7489,11583,71482,hotel_market,47,0.06377144803508324,0.0017289280273070024,0.002115442661173007,-0.02013045197050621,2364.019627156397,99
48,787,107,185,556,hotel_market,48,0.13595933926302414,2.7613889756694762e-05,1.4176807377214256e-05,0.052057439257434696,-40.96920469560111,189
49,2068,169,449,1230,hotel_market,49,0.08172147001934237,6.701965676084297e-05,3.725239854647914e-05,-0.0021804299862470816,4.509129211558965,197
50,1758,151,357,1078,hotel_market,50,0.08589306029579068,5.328734401697314e-05,3.166814151098178e-05,0.00199116029020123,-3.500459790173762,5
51,13903,1056,1751,8538,hotel_market,51,0.07595482989282888,0.00026136173494039207,0.0002504449211758702,-0.007947070112760565,110.48811577771014,104
52,69186,2693,6385,40355,hotel_market,52,0.038924059780880524,0.0009530523572783571,0.0012462980879287746,-0.04497784022470892,3111.8368537867113,182
53,4333,192,771,2571,hotel_market,53,0.044311100853911836,0.00011508275136438737,7.805350237035498e-05,-0.03959079915167761,171.5469327242191,182
54,2477,159,370,1445,hotel_market,54,0.0641905530884134,5.5227779513389525e-05,4.462001508686114e-05,-0.019711346917176048,48.82500631384507,99
55,17499,1552,2529,11525,hotel_market,55,0.08869078233041888,0.0003774893361874652,0.0003152223027876395,0.004788882324829435,-83.80065180219029,34
56,1527,112,305,1046,hotel_market,56,0.0733464309102816,4.552560203130759e-05,2.7506969332917624e-05,-0.010555469095307843,16.118201308535077,34
57,3460,359,630,2360,hotel_market,57,0.10375722543352602,9.40364894417173e-05,6.232751400909953e-05,0.019855325427936568,-68.69942598066052,34
58,98464,2095,10595,45513,hotel_market,58,0.021276811829704256,0.0015814549295793568,0.001773704144332941,-0.06262508817588519,6166.316682150359,87
59,80300,1031,12896,35747,hotel_market,59,0.012839352428393524,0.0019249120124450578,0.0014465027095175412,-0.07106254757719592,5706.322570448832,140
60,32320,775,3765,17484,hotel_market,60,0.023978960396039604,0.0005619799726159772,0.0005822038302815308,-0.05992293960954984,1936.7094081806508,104
61,481941,24735,38444,286294,hotel_market,61,0.05132370974870368,0.005738315555710127,0.008681556193369779,-0.03257819025688577,15700.765590593785,171
62,22006,596,2549,12024,hotel_market,62,0.02708352267563392,0.0003804746215665673,0.000396410194590822,-0.056818377329955524,1250.3452115230014,182
63,6247,496,988,3998,hotel_market,63,0.0793981110933248,0.00014747309772764554,0.00011253178613145802,-0.004503788912264647,28.13516933491725,104
64,12488,640,1653,7823,hotel_market,64,0.05124919923126201,0.0002467338365827916,0.0002249554898686806,-0.032652700774327435,407.766927269801,104
65,39653,3107,4462,24856,hotel_market,65,0.07835472725897158,0.0006660171680776867,0.0007142985297696022,-0.005547172746617868,219.9620409216383,5
66,19296,1093,2119,10312,hotel_market,66,0.056643864013267,0.0003162909859158714,0.0003475929798611516,-0.027258035992322446,525.971062507854,130
67,6781,460,953,4209,hotel_market,67,0.06783660227105147,0.00014224884831421682,0.00012215111921841154,-0.01606529773453798,108.93878393790203,104
68,54362,1479,5422,27567,hotel_market,68,0.027206504543615024,0.0008093108662745892,0.0009792625192377655,-0.05669539546197443,3082.075088103854,182
69,142034,6492,13744,77099,hotel_market,69,0.0457073658419815,0.0020514881125189882,0.002558562463805908,-0.03819453416360795,5424.922465393892,151
70,42059,975,4777,20446,hotel_market,70,0.023181720915856296,0.0007130354127985453,0.0007576395698580108,-0.06072017908973315,2553.8300123350864,151
71,378,34,101,249,hotel_market,71,0.08994708994708994,1.507569116446579e-05,6.809190836832261e-06,0.006045189941500495,-2.2850817978871873,104
72,58371,3022,6884,34862,hotel_market,72,0.051772284182213774,0.0010275352274869555,0.001051479572319407,-0.03212961582337567,1875.4378052262614,110
73,162201,1317,15025,72206,hotel_market,73,0.008119555366489726,0.0022426956410504803,0.0029218454045635703,-0.07578234463909972,12291.972082806613,152
74,43621,696,4861,19478,hotel_market,74,0.015955617707067698,0.0007255736113907744,0.0007857770198239684,-0.06794628229852175,2963.884780143817,132
75,8646,425,1127,5007,hotel_market,75,0.049155678926671297,0.0001682208311124054,0.00015574673009325854,-0.03474622107891815,300.41582744832635,151
76,42074,3003,5440,25982,hotel_market,76,0.07137424537719257,0.0008119976231157812,0.0007579097758435993,-0.012527654628396875,527.0885408351701,104
77,3927,294,637,2364,hotel_market,77,0.0748663101604278,9.508133932440306e-05,7.073992702709071e-05,-0.009035589845161646,35.48276132194978,99
78,712,55,170,442,hotel_market,78,0.07724719101123595,2.537492572236816e-05,1.2825777449271348e-05,-0.006654708994353498,4.73815280397969,34
79,91534,3332,6723,53243,hotel_market,79,0.03640177420412087,0.0010035036801851831,0.0016488689789910162,-0.047500125801468576,4347.876515111625,182
80,42609,1836,4957,22874,hotel_market,80,0.04308948813630923,0.0007399029812104645,0.0007675471226629254,-0.04081241186928022,1738.9760573381607,151
81,7251,176,1286,3917,hotel_market,81,0.024272514135981246,0.0001919538498762674,0.00013061757343352042,-0.0596293858696082,432.37267694052906,182
82,3962,97,935,2105,hotel_market,82,0.024482584553255932,0.00013956209147302488,7.137040766013073e-05,-0.05941931545233352,235.4193278221454,182
83,316054,6419,22363,159442,hotel_market,83,0.020309820473716517,0.003337996846643054,0.005693312171280909,-0.06359207953187293,20098.531104366568,182
84,3959,303,641,2436,hotel_market,84,0.07653447840363728,9.567839640022348e-05,7.131636646301302e-05,-0.007367421601952168,29.16762212212863,104
85,31299,1602,3469,18220,hotel_market,85,0.051183743889581135,0.0005177977490052656,0.0005638118095291347,-0.03271815611600831,1024.0455682749441,34
86,2311,79,489,1443,hotel_market,86,0.0341843357853743,7.299022751904724e-05,4.1629735513014166e-05,-0.04971756422021515,114.89729091291721,182
87,11962,780,1471,7880,hotel_market,87,0.06520648720949673,0.00021956773963296216,0.00021548026664070769,-0.018695412796092714,223.63452786686105,34
88,200856,13208,16721,123929,hotel_market,88,0.06575855339148445,0.0024958478411983413,0.0036181662294253454,-0.018143346614104994,3644.200027522673,99
89,3170,215,505,1943,hotel_market,89,0.06782334384858044,7.537845582232895e-05,5.7103531621053615e-05,-0.01607855615700901,50.96902301771856,5
90,11945,702,1497,6561,hotel_market,90,0.058769359564671414,0.00022344861062579492,0.00021517403319037395,-0.025132540440918033,300.2081955667659,130
91,291387,10793,20087,152559,hotel_market,91,0.03704008758112064,0.002998271370501231,0.005248967434846672,-0.04686181242446881,13654.922936928693,130
92,18067,949,4765,9974,hotel_market,92,0.05252670614933304,0.0007112442415710841,0.00032545410277526045,-0.03137519385625641,566.8556274009845,130
93,754,85,183,548,hotel_market,93,0.11273209549071618,2.731536121878455e-05,1.3582354208919377e-05,0.028830195485126733,-21.737967395785557,34
94,5961,433,942,3902,hotel_market,94,0.07263881899010233,0.00014060694135571063,0.0001073798586729024,-0.01126308101548712,67.13922593331873,34
95,3545,263,491,2231,hotel_market,95,0.07418899858956277,7.328875605695746e-05,6.385868126076816e-05,-0.009712901416026681,34.43223551981458,99
96,2950,184,454,1824,hotel_market,96,0.062372881355932205,6.77659781056185e-05,5.314051049908775e-05,-0.02152901864965724,63.51060501648886,104
97,18086,1469,2420,11774,hotel_market,97,0.08122304544951897,0.0003612195308713585,0.00032579636369033934,-0.0026788545560704757,48.44976350109062,34
98,7512,407,988,4211,hotel_market,98,0.05417997870074547,0.00014747309772764554,0.00013531915758276176,-0.029721921304843975,223.27107284198794,5
99,63127,1114,10394,33817,hotel_market,99,0.017646965640692572,0.0015514528115193804,0.00113715288348336,-0.06625493436489688,4182.475241652845,193
100,43123,1636,7366,25105,hotel_market,100,0.03793799132713401,0.0010994806051233168,0.0007768061811024274,-0.045963908678455435,1982.1016339410337,146
101,23352,972,5044,13386,hotel_market,101,0.04162384378211716,0.0007528889726095588,0.0004206566783643041,-0.042278056223472284,987.2771689305248,13
102,10115,793,1558,6207,hotel_market,102,0.07839841819080573,0.00023255373103205643,0.00018220890294856696,-0.005503481814783717,55.6677185565373,71
103,18439,1255,2174,11309,hotel_market,103,0.06806225934161289,0.00032450052070840226,0.00033215521121785727,-0.015839640663976556,292.06713420306374,129
104,18265,717,5018,11374,hotel_market,104,0.03925540651519299,0.0007490081016167261,0.00032902082178502975,-0.044646493490396455,815.4682036020912,204
105,236,24,55,147,hotel_market,105,0.1016949152542373,8.209534792530876e-06,4.25124083992702e-06,0.017793015248647848,-4.199151598680892,4
106,88510,4655,9278,54617,hotel_market,106,0.05259292735284149,0.0013848738873654812,0.001594395452296358,-0.03130897265274796,2771.1571694947215,106
107,400159,18657,33690,228074,hotel_market,107,0.046623966973128185,0.005028713221097549,0.007208357132476086,-0.03727793303246126,14917.100404336667,106
108,156284,6539,13758,84047,hotel_market,108,0.04184049550817742,0.0020535778122843596,0.0028152581501150607,-0.042061404497412025,6573.524540473541,106
109,25134,847,4173,13387,hotel_market,109,0.0336993713694597,0.0006228797943496608,0.00045275714945222764,-0.05020252863612975,1261.790354740485,8
110,1291234,23188,91615,582753,hotel_market,110,0.017958015355853393,0.013674846000322113,0.023259943706365787,-0.06594388464973605,85148.98595181727,8
111,90468,1768,10941,41136,hotel_market,111,0.019542821771234026,0.0016331003666378238,0.0016296663402818544,-0.06435907823435542,5822.437089705667,8
112,4436,274,774,2683,hotel_market,112,0.06176735798016231,0.00011553054417125268,7.990891680472992e-05,-0.02213454202542714,98.18882842479479,8
113,32890,3073,3843,20645,hotel_market,113,0.09343265430221952,0.0005736225855944756,0.000592471657733897,0.00953075429663007,-313.466508816163,8
114,10915,242,2050,5529,hotel_market,114,0.022171323866239122,0.000305991751357969,0.00019661988884662468,-0.061730576139350325,673.7892385610088,8
115,5388,336,1046,3305,hotel_market,115,0.062360801781737196,0.00015613042532704175,9.705799002341857e-05,-0.02154109822385225,116.06343723011592,8
116,11391,948,1673,7141,hotel_market,116,0.0832235975770345,0.00024971912196189374,0.000205194425455969,-0.0006783024285549472,7.726542963669403,8
117,2795,127,542,1410,hotel_market,117,0.045438282647584975,8.090123377366791e-05,5.034838198133907e-05,-0.03846361735800447,107.5058105156225,8
118,288732,5554,31637,135086,hotel_market,118,0.019235831151379133,0.004722273676932715,0.005201140975397493,-0.0646660688542103,18671.16339241385,8
119,474,41,85,289,hotel_market,119,0.08649789029535865,1.268746286118408e-05,8.538509144599184e-06,0.002595990289769201,-1.2304993973506013,8
120,24559,770,3341,12130,hotel_market,120,0.03135306812166619,0.0004986919225790119,0.00044239925333799864,-0.05254883188392326,1290.5467622372712,8
121,128216,11775,12868,81362,hotel_market,121,0.09183721220440506,0.0019207326129143147,0.002309648709881707,0.007935312198815617,-1017.4339888833431,8
122,16561,2176,2341,11191,hotel_market,122,0.13139303182174988,0.0003494276536239051,0.0002983254218221668,0.04749113181616044,-786.500634007433,8
123,8020,442,1149,5094,hotel_market,123,0.05511221945137157,0.00017150464502941774,0.00014447013362802838,-0.028789680554217878,230.89323804482737,8
124,8876,794,1154,5773,hotel_market,124,0.08945470932852637,0.00017225096637419327,0.00015988988853895013,0.005552809322936919,-49.286735550388094,8
125,9207,889,1276,5825,hotel_market,125,0.09655696752470946,0.00019046120718671633,0.0001658524339542715,0.012655067519120017,-116.515206648538,8
126,747105,12652,54875,347902,hotel_market,126,0.016934701280275195,0.008190876758911487,0.013458149524210492,-0.06696719872531426,50031.52900367591,8
127,1584,241,298,1062,hotel_market,127,0.15214646464646464,4.4480752148621836e-05,2.8533752078154236e-05,0.0682445646408752,-108.0993903911463,8
128,11028,534,1729,6617,hotel_market,128,0.04842219804134929,0.0002580779210233797,0.0001986554406047253,-0.035479701964240155,391.2701532616404,8
129,5380,417,1145,3190,hotel_market,129,0.0775092936802974,0.00017090758795359733,9.6913880164438e-05,-0.006392606325292052,34.39222203007124,8
130,4764,427,753,2974,hotel_market,130,0.08963056255247691,0.00011239599452319544,8.581742102293357e-05,0.005728662546887461,-27.291348373371864,8
131,9048,785,1345,5427,hotel_market,131,0.08675950486295314,0.0002007604417446187,0.00016298825050703252,0.0028576048573636936,-25.8556087494267,8
132,56262,2778,6728,33649,hotel_market,132,0.04937613309160713,0.0010042500015299588,0.0010134886107456525,-0.03452576691398232,1942.4886981144732,77
133,30735,2506,4657,19588,hotel_market,133,0.08153570847567919,0.0006951237005239326,0.000553652064471004,-0.002366191529910258,72.72489667179178,70
134,38055,3844,6033,24636,hotel_market,134,0.10101169360136644,0.0009005113346061595,0.000685512585438232,0.017109793595776995,-651.1131952872936,70
135,17743,1889,2962,11586,hotel_market,135,0.10646452121963591,0.00044212076464502644,0.0003196176534865471,0.022562621214046466,-400.32858820082646,70
136,80585,2842,6861,41877,hotel_market,136,0.03526710926351058,0.001024102149300988,0.001451636623243724,-0.04863479074207887,3919.2346119504255,106
137,1148,157,201,751,hotel_market,137,0.1367595818815331,3.0002118059976473e-05,2.0679764763712793e-05,0.05285768187594364,-60.6806187935833,8
138,2056,333,383,1403,hotel_market,138,0.1619649805447471,5.716821500980592e-05,3.703623375800827e-05,0.07806308053915764,-160.4976935885081,8
139,4946,275,1031,2831,hotel_market,139,0.05560048524059846,0.00015389146129271515,8.909592031474169e-05,-0.028301414764990984,139.97879742764542,8
140,4183,136,876,2267,hotel_market,140,0.03251255080086063,0.00013075549960467358,7.535144251446916e-05,-0.05138934920472882,214.96164772338065,8
141,19819,1515,2106,12150,hotel_market,141,0.07644179827438317,0.000314350550419455,0.0003570141618920068,-0.007460101731206273,147.85175621077713,127
142,28530,1856,3447,17283,hotel_market,142,0.06505432877672625,0.0005145139350882532,0.0005139317845894825,-0.0188475712288632,537.7212071594671,1
143,21676,1304,2410,13406,hotel_market,143,0.06015870086731869,0.00035972688818180744,0.00039046566290787323,-0.023743199138270756,514.6575845211569,147
144,12343,850,2080,7337,hotel_market,144,0.06886494369278133,0.00031046967942662223,0.00022234349867465765,-0.015036956312808117,185.60115176899058,106
145,1222,65,405,736,hotel_market,145,0.05319148936170213,6.045202892681827e-05,2.2012780959283128e-05,-0.03071041064388732,37.528121806830306,5
146,12591,723,1680,7786,hotel_market,146,0.05742196807243269,0.00025076397184457946,0.00022681090430305554,-0.02647993193315676,333.4088229703767,112
147,400,11,147,254,hotel_market,147,0.0275,2.1941847536400703e-05,7.205492949028847e-06,-0.05640190000558945,22.56076000223578,104
148,711,22,303,462,hotel_market,148,0.030942334739803096,4.522707349339737e-05,1.2807763716898776e-05,-0.05295956526578635,37.654250903974095,182
149,801,53,129,426,hotel_market,149,0.066167290886392,1.925509069520878e-05,1.4428999630430267e-05,-0.017734609119197442,14.20542190447715,104
150,35146,1938,4221,20367,hotel_market,150,0.055141410117794346,0.000630044479259506,0.0006331106379664197,-0.0287604898877951,1010.8161775964467,15
151,16478,1261,2257,9852,hotel_market,151,0.0765262774608569,0.0003368894550316761,0.00029683028203524335,-0.007375622544732549,121.53550829210295,4
152,66341,3248,7570,37895,hotel_market,152,0.048959165523582704,0.0011299305159901587,0.001195049019328807,-0.03494273448200674,2318.1359482708094,48
153,484624,19124,37676,274591,hotel_market,153,0.039461520684076726,0.005623680597152605,0.00872988703732539,-0.04444037932151272,21536.87438830878,48
154,29398,1842,3679,18911,hotel_market,154,0.06265732362745766,0.000549143245485838,0.0005295677042888752,-0.02124457637813179,624.5480563643184,77
155,148095,8795,17549,87980,hotel_market,155,0.05938755528545866,0.0026194386558931696,0.002667743695716068,-0.02451434472013079,3630.451881327769,31
156,23949,1459,3052,13385,hotel_market,156,0.060921124055284145,0.00045555454885098603,0.00043141087659072966,-0.0229807759503053,550.3666032338617,106
157,2375,287,422,1514,hotel_market,157,0.12084210526315789,6.298952149905508e-05,4.278261438485878e-05,0.03694020525756844,-87.73298748672505,8
158,40678,1338,7989,20798,hotel_market,158,0.032892472589606175,0.0011924722446823486,0.0007327626054514886,-0.05100942741598327,2074.9614884273674,204
159,23704,1731,3288,15027,hotel_market,159,0.07302564967937901,0.0004907809163243913,0.0004269975121594495,-0.010876250326210438,257.81063773249224,115
160,22445,2027,3839,13543,hotel_market,160,0.09030964580084651,0.0005730255285186552,0.0004043182231023812,0.006407745795257061,-143.82185437454473,106
161,1968,146,391,1261,hotel_market,161,0.0741869918699187,5.836232916144677e-05,3.5451025309221925e-05,-0.009714908135670747,19.11893921100003,75
162,6797,634,1078,4412,hotel_market,162,0.09327644549065764,0.00016090688193360516,0.00012243933893637269,0.009374545485068192,-63.7187856620085,2
163,1307,105,270,822,hotel_market,163,0.08033664881407804,4.0301352617878845e-05,2.3543948210951758e-05,-0.0035652511915114093,4.659783307305412,191
164,2318,284,399,1500,hotel_market,164,0.12251941328731665,5.9556443313087625e-05,4.175583163962217e-05,0.0386175132817272,-89.51539578704366,8
165,2509,286,421,1569,hotel_market,165,0.11398963730569948,6.284025723009997e-05,4.5196454522783444e-05,0.030087737300110037,-75.49013288597608,8
166,7269,280,1210,3604,hotel_market,166,0.038519741367450816,0.00018060976543567925,0.00013094182061622672,-0.04538215863813863,329.8829111406297,158
167,15648,1147,2458,9742,hotel_market,167,0.07330010224948875,0.0003668915730916526,0.00028187888416600853,-0.010601797756100692,165.89693128746362,131
168,20732,1042,3260,12017,hotel_market,168,0.050260466911055374,0.00048660151679364827,0.00037346069954816516,-0.03364143309453407,697.4541909158804,92
169,1205,58,345,759,hotel_market,169,0.048132780082987554,5.1496172789511855e-05,2.17065475089494e-05,-0.03576911992260189,43.10178950673528,181
170,1626,84,355,927,hotel_market,170,0.05166051660516605,5.298881547906293e-05,2.9290328837802263e-05,-0.032241383400423394,52.42448940908844,184
171,35164,2730,3503,22149,hotel_market,171,0.07763621886019793,0.0005228727341497392,0.000633434885149126,-0.0062656811453915134,220.32641179654718,202
172,10253,719,1457,6237,hotel_market,172,0.07012581683409734,0.00021747803986759065,0.00018469479801598194,-0.013776083171492107,141.24618075730857,57
173,2388,149,380,1434,hotel_market,173,0.062395309882747066,5.67204222029406e-05,4.301679290570222e-05,-0.02150659012284238,51.357737213347605,83
174,1204,103,247,741,hotel_market,174,0.08554817275747509,3.6868274431911386e-05,2.168853377657683e-05,0.0016462727518856413,-1.9821123932703122,211
175,1143,61,329,753,hotel_market,175,0.05336832895888014,4.910794448623015e-05,2.058969610184993e-05,-0.030533571046709305,34.89987170638874,134
176,1740,90,479,1131,hotel_market,176,0.05172413793103448,7.149758482949617e-05,3.1343894328275486e-05,-0.032177762074554965,55.98930600972564,25
177,17665,832,3389,10279,hotel_market,177,0.04709878290404755,0.000505856607488857,0.00031821258236148646,-0.036803117101541896,650.1270635987375,125
178,4360,256,686,2674,hotel_market,178,0.05871559633027523,0.00010239528850320329,7.853987314441444e-05,-0.025186303675314214,109.81228402436997,143
179,775,32,200,484,hotel_market,179,0.04129032258064516,2.9852853791021367e-05,1.3960642588743392e-05,-0.042611577424944286,33.02397250433182,182
180,4469,383,1173,2973,hotel_market,180,0.08570149921682703,0.0001750869874843403,8.050336997302479e-05,0.001799599211237582,-8.042408875020755,204
181,10561,294,1383,4735,hotel_market,181,0.027838272890824734,0.00020643248396491276,0.00019024302758673413,-0.056063627114764716,592.0879659590302,153
182,3145,444,571,2070,hotel_market,182,0.1411764705882353,8.5229897573366e-05,5.665318831173931e-05,0.057274570582645845,-180.12852448242117,8
183,937,73,192,612,hotel_market,183,0.07790821771611527,2.865873963938051e-05,1.6878867233100074e-05,-0.005993682289474181,5.616080305237308,5
184,1646,58,483,968,hotel_market,184,0.03523693803159174,7.20946419053166e-05,2.9650603485253705e-05,-0.04866496197399771,80.10252740920023,151
185,12727,243,1879,6513,hotel_market,185,0.01909326628427752,0.0002804675613666457,0.00022926077190572536,-0.06480863372131193,824.8194813711369,185
186,38167,2482,5512,23677,hotel_market,186,0.06502999973799356,0.0008227446504805488,0.0006875301234639601,-0.018871900267595887,720.2838175133322,107
187,2445,176,491,1648,hotel_market,187,0.0719836400817996,7.328875605695746e-05,4.404357565093883e-05,-0.01191825992378985,29.140145513666184,201
188,1754,113,393,1126,hotel_market,188,0.06442417331812998,5.866085769935698e-05,3.1596086581491495e-05,-0.019477726687459465,34.1639326098039,204
189,2454,295,472,1585,hotel_market,189,0.1202118989405053,7.045273494681042e-05,4.420569924229198e-05,0.03630999893491585,-89.10473738628349,8
190,17112,674,7128,11272,hotel_market,190,0.03938756428237494,0.0010639557091120014,0.0003082509883594541,-0.044514335723214504,761.7293128956466,50
191,552063,38894,63503,338987,hotel_market,191,0.07045210419825274,0.009478728871456149,0.009944715134799281,-0.013449795807336712,7425.1346227857275,50
192,57256,5410,9021,36704,hotel_market,192,0.09448791393041778,0.0013465129702440188,0.0010313942607239892,0.01058601392482833,-606.1128132799709,50
193,9229,172,2823,5066,hotel_market,193,0.01863690540686965,0.00042137303126026657,0.00016624873606646808,-0.06526499459871979,602.3306351515849,160
194,5049,78,1523,2964,hotel_market,194,0.015448603683897801,0.0002273294816186277,9.095133474911663e-05,-0.06845329632169164,345.6206931282211,81
195,14390,285,3545,7865,hotel_market,195,0.01980542043085476,0.0005291418334458537,0.00025921760884131277,-0.06409647957473469,922.3483410804322,128
