site_name,interactions,bookings,unique_users,unique_bookers,segment_name,segment_value,booking_rate,share_of_users,share_of_interactions,gap_from_mean,potential_bookings,posa_continent,user_location_country,is_mobile,is_package,channel,is_family,is_urgent,is_long_stay,day_of_week,time_of_day
15.0,121676,5629,4483,68469,site_name,15,0.04626220454321312,0.0035504130136932055,0.002191838900165085,-0.0012207130612981731,148.53148244651652,,,,,,,,,,
16.0,8675,400,106,6288,site_name,16,0.04610951008645533,8.3949092003453e-05,0.00015626912833206313,-0.0013734075180559663,11.914310219135508,,,,,,,,,,
17.0,552998,25922,16877,294711,site_name,17,0.04687539557105089,0.013366120997568644,0.009961557974567636,-0.0006075220334604073,335.9584694595383,,,,,,,,,,
18.0,425611,11172,10254,186146,site_name,18,0.02624932156358741,0.008120886692484973,0.007666842648822792,-0.021233596040923886,9037.252044573655,,,,,,,,,,
19.0,22567,1372,2589,7502,site_name,19,0.060796738600611515,0.002050416973556036,0.000406515898451835,0.01331382099610022,-300.4529984189937,,,,,,,,,,
20.0,34285,1445,489,20377,site_name,20,0.042146711389820624,0.00038727458480838223,0.000617600814393635,-0.005336206214690671,182.95183007066967,,,,,,,,,,
21.0,30785,1302,1622,14702,site_name,21,0.04229332467110606,0.001284579502166045,0.0005545527510896327,-0.005189592933405235,159.76161845488016,,,,,,,,,,
22.0,208135,8887,6440,115422,site_name,22,0.04269824873279362,0.005100303325492805,0.0037492881873652977,-0.004784668871717676,995.8570556149585,,,,,,,,,,
23.0,1081990,47052,24878,609365,site_name,23,0.0434865386925942,0.019702693498697205,0.019490678289799307,-0.003996378911917092,4324.042018905175,,,,,,,,,,
24.0,3665057,151633,65901,2054843,site_name,24,0.041372617124372145,0.052191784076599586,0.06602135592822204,-0.00611030048013915,22394.59954683735,,,,,,,,,,
25.0,320840,13337,8798,171141,site_name,25,0.041569006358309436,0.006967774636286599,0.005779525894416038,-0.005913911246201858,1897.4192842314042,,,,,,,,,,
26.0,230856,11382,6456,120646,site_name,26,0.04930346189832623,0.00511297488654993,0.004158578200602509,0.001820544293814938,-420.28357349294134,,,,,,,,,,
27.0,156728,6050,3633,83617,site_name,27,0.03860190903986525,0.002877236332533441,0.0028232562472884828,-0.008881008564646048,1391.9027103198457,,,,,,,,,,
28.0,341099,16445,9657,194887,site_name,28,0.048211809474668646,0.007648079070540996,0.006144466098551977,0.0007288918701573513,-248.62428801880236,,,,,,,,,,
29.0,125444,5543,4181,62300,site_name,29,0.04418704760690029,0.003311237298739972,0.0022597146437449366,-0.0032958699976110076,413.44711598031523,,,,,,,,,,
30.0,344492,19245,6301,215398,site_name,30,0.05586486768923516,0.004990219138809032,0.006205586692492114,0.008381950084723866,-2887.514748586694,,,,,,,,,,
31.0,20263,954,476,11035,site_name,31,0.04708088634456892,0.00037697894144946817,0.00036501225906542884,-0.00040203125994237726,8.14635942021239,,,,,,,,,,
32.0,137604,6294,4134,72282,site_name,32,0.045739949420075,0.003274014588134667,0.0024787616293954137,-0.001742968184436297,239.83939405117223,,,,,,,,,,
33.0,281911,9637,7434,137080,site_name,33,0.03418454760544995,0.0058875240561666944,0.0050782693068841785,-0.013298369999061345,3748.956784805383,,,,,,,,,,
34.0,2700030,159907,49472,1640894,site_name,34,0.059224156768628494,0.03918046678863044,0.048637617817915896,0.0117412391641172,-31701.697980291363,,,,,,,,,,
35.0,165416,4043,4040,77692,site_name,35,0.02444140832809402,0.0031995691669240577,0.0029797595541413897,-0.023041509276417276,3811.43429846784,,,,,,,,,,
36.0,67780,2584,1404,36942,site_name,36,0.038123340218353494,0.0011119294827627172,0.0012209707802129381,-0.009359577386157801,634.3921552337757,,,,,,,,,,
37.0,2974345,170103,86380,1638687,site_name,37,0.05719007041886533,0.06841059025715349,0.05357905481369802,0.009707152814354032,-28872.421437609843,,,,,,,,,,
38.0,11923,560,129,6869,site_name,38,0.04696804495512874,0.00010216446102307016,0.00021477773107817736,-0.0005148726493825542,6.138826598588194,,,,,,,,,,
40.0,72726,4505,3357,37231,site_name,40,0.06194483403459561,0.002658651904298035,0.0013100667005276798,0.014461916430084314,-1051.7573342943117,,,,,,,,,,
41.0,1693,121,211,578,site_name,41,0.07147076196101594,0.0001671062114408357,3.0497248906764597e-05,0.023987844356504646,-40.61142049556236,,,,,,,,,,
43.0,4912,142,143,2284,site_name,43,0.028908794788273615,0.00011325207694805452,8.848345341407424e-05,-0.01857412281623768,91.23609127335949,,,,,,,,,,
44.0,5538,150,254,2265,site_name,44,0.027085590465872156,0.00020116103178185907,9.976004987930439e-05,-0.020397327138639138,112.96039769378355,,,,,,,,,,
45.0,7984,228,377,3269,site_name,45,0.028557114228456915,0.00029857365740850735,0.0001438216392626158,-0.01892580337605438,151.10361415441818,,,,,,,,,,
46.0,67712,1913,2511,26149,site_name,46,0.028252008506616258,0.0019886431134025517,0.0012197458464116033,-0.019230909097895037,1302.1633168366686,,,,,,,,,,
47.0,1984,45,97,528,site_name,47,0.022681451612903226,7.68213389088202e-05,3.5739245027183084e-05,-0.024801465991608068,49.20610852735041,,,,,,,,,,
48.0,28621,627,1036,11276,site_name,48,0.021906991369973098,0.0008204835784488425,0.0005155710342353866,-0.025575926234538197,732.0085847587177,,,,,,,,,,
53.0,14032,1099,764,7003,site_name,53,0.07832098061573546,0.0006050670404777179,0.00025276869265193196,0.030838063011224166,-432.71970017349753,,,,,,,,,,
,396070,19032,10660,214470,posa_continent,0,0.04805211200040397,0.008546597395933551,0.007134698980804639,-0.0012322705588834054,488.0654002569504,0.0,,,,,,,,,
,6608988,353990,181797,3654469,posa_continent,1,0.05356190690617081,0.14575476236290166,0.11905254108554066,0.0042775243468834365,-28270.10707826047,1.0,,,,,,,,,
,5474700,213407,110030,2946935,posa_continent,2,0.03898058341096316,0.08821595792444359,0.09861978062012057,-0.010303799148324216,56410.20919733059,2.0,,,,,,,,,
,41349759,2372529,907030,24363103,posa_continent,3,0.05737709378185251,0.7272064011288564,0.7448634922963553,0.008092711222565135,-334631.6587096637,3.0,,,,,,,,,
,1683687,81575,37763,1001200,posa_continent,4,0.048450216697046425,0.030276281187864795,0.030329487017178833,-0.0008341658622409501,1404.4742180988785,4.0,,,,,,,,,
,264774,14181,9986,153330,user_location_country,0,0.05355888418047089,0.006752069367945183,0.00476956797521541,-0.0072726494308867976,1925.608480413621,,0.0,,,,,,,,
,1146779,52678,32034,657366,user_location_country,1,0.045935616191088255,0.021659902877303825,0.02065776999648588,-0.014895917420269432,17082.32528329916,,1.0,,,,,,,,
,3435449,141556,66882,1922590,user_location_country,3,0.04120451213218418,0.045222501849279964,0.06188525886562051,-0.019627021479173508,67427.63131360515,,3.0,,,,,,,,
,7881,389,340,4575,user_location_country,4,0.04935921837330288,0.0002298922076007773,0.00014196622482824087,-0.011472315238054809,90.41331639110994,,4.0,,,,,,,,
,98168,5242,4674,53142,user_location_country,5,0.0533982560508516,0.003160341700958921,0.0017683720795506597,-0.007433277560506088,729.7099915597616,,5.0,,,,,,,,
,15003,849,671,9477,user_location_country,6,0.05658868226354729,0.0004536990332356517,0.0002702600267856995,-0.004242851347810397,63.65549877119939,,6.0,,,,,,,,
,45,4,2,34,user_location_country,7,0.08888888888888889,1.3523071035339842e-06,8.106179567657454e-07,0.028057355277531205,-1.2625809874889042,,7.0,,,,,,,,
,5023,215,145,3167,user_location_country,8,0.0428031057137169,9.804226500621385e-05,9.048297770742975e-05,-0.018028427897640788,90.55679332984968,,8.0,,,,,,,,
,178,14,14,129,user_location_country,9,0.07865168539325842,9.46614972473789e-06,3.206444362317837e-06,0.017820151781900738,-3.1719870171783313,,9.0,,,,,,,,
,18409,600,716,8536,user_location_country,10,0.03259275354446195,0.00048412594306516634,0.0003316147992466801,-0.028238780066895737,519.8477022514836,,10.0,,,,,,,,
,7052,434,382,4389,user_location_country,11,0.06154282473057289,0.000258290656774991,0.00012703284069137859,0.000711291119215203,-5.016024972705612,,11.0,,,,,,,,
,168758,9452,3741,107050,user_location_country,12,0.056009196601050026,0.002529490437160317,0.0030399614477305257,-0.00482233701030766,813.8079491855002,,12.0,,,,,,,,
,471,19,23,292,user_location_country,13,0.040339702760084924,1.555153169064082e-05,8.484467947481468e-06,-0.020491830851272763,9.65165233094947,,13.0,,,,,,,,
,5035,243,179,3189,user_location_country,15,0.048262164846077454,0.00012103148576629159,9.069914249590061e-05,-0.012569368765280232,63.28677173318597,,15.0,,,,,,,,
,2304,188,220,1603,user_location_country,16,0.08159722222222222,0.00014875378138873825,4.150363938640616e-05,0.020765688610864537,-47.84414655943189,,16.0,,,,,,,,
,437,7,12,249,user_location_country,17,0.016018306636155607,8.113842621203904e-06,7.872001046814016e-06,-0.04481322697520208,19.58338018816331,,17.0,,,,,,,,
,1490,68,82,893,user_location_country,18,0.04563758389261745,5.544459124489335e-05,2.6840461235132455e-05,-0.01519394971874024,22.638985080922957,,18.0,,,,,,,,
,79901,4083,2593,49554,user_location_country,19,0.05110073716223827,0.0017532661597318105,0.0014393152303008847,-0.009730796449119415,777.5003670810904,,19.0,,,,,,,,
,1445,96,52,910,user_location_country,20,0.06643598615916955,3.515998469188359e-05,2.602984327836671e-05,0.005604452547811868,-8.098433931588149,,20.0,,,,,,,,
,126,12,13,88,user_location_country,21,0.09523809523809523,8.789996172970897e-06,2.269730278944087e-06,0.034406561626737546,-4.3352267649689304,,21.0,,,,,,,,
,9705,812,721,6484,user_location_country,22,0.08366821226172076,0.0004875067108240013,0.0001748232726758124,0.022836678650363075,-221.62996630177363,,22.0,,,,,,,,
,472998,22231,14011,267193,user_location_country,23,0.04700019873234136,0.009473587413807326,0.008520459384761868,-0.013831334879016326,6542.193735104964,,23.0,,,,,,,,
,46577,2523,1214,29909,user_location_country,24,0.0541683663610795,0.0008208504118451283,0.0008390256127172916,-0.006663167250278185,310.350341016207,,24.0,,,,,,,,
,1364,76,61,840,user_location_country,25,0.05571847507331378,4.124536665778652e-05,2.457073095618837e-05,-0.005113058538043905,6.974211845891886,,25.0,,,,,,,,
,6334,448,243,4308,user_location_country,26,0.07072939690558888,0.00016430531307937908,0.0001140989808478718,0.009897863294231195,-62.693066105660385,,26.0,,,,,,,,
,22260,1273,645,13382,user_location_country,27,0.057187780772686436,0.0004361190408897099,0.00040098568261345537,-0.0036437528386712506,81.10993818882204,,27.0,,,,,,,,
,73867,3307,1757,45032,user_location_country,28,0.044769653566545276,0.0011880017904546051,0.0013306203691647847,-0.01606188004481241,1186.4428932701585,,28.0,,,,,,,,
,71880,3142,1961,42602,user_location_country,29,0.04371174179187535,0.0013259371150150714,0.0012948270829404838,-0.01711979181948234,1230.5706359843905,,29.0,,,,,,,,
,46533,2268,1277,28030,user_location_country,30,0.048739604151892206,0.0008634480856064489,0.0008382330084928984,-0.01209192945946548,562.6737535373072,,30.0,,,,,,,,
,4592,218,160,2983,user_location_country,31,0.047473867595818814,0.00010818456828271873,8.271905905485117e-05,-0.013357666015538873,61.3384023433545,,31.0,,,,,,,,
,95385,5857,3514,58879,user_location_country,32,0.06140378466215862,0.0023760035809092103,0.0017182398623577914,0.0005722510508009357,-54.58416648064725,,32.0,,,,,,,,
,60,7,6,52,user_location_country,33,0.11666666666666667,4.056921310601952e-06,1.0808239423543271e-06,0.05583513305530898,-3.350107983318539,,33.0,,,,,,,,
,6375,500,269,3836,user_location_country,34,0.0784313725490196,0.00018188530542532087,0.00011483754387514726,0.01759983893766192,-112.19897322759473,,34.0,,,,,,,,
,862,79,59,566,user_location_country,35,0.09164733178654293,3.989305955425253e-05,1.5527837305157167e-05,0.03081579817518524,-26.563218027009675,,35.0,,,,,,,,
,808,40,51,476,user_location_country,36,0.04950495049504951,3.44838311401166e-05,1.4555095757038272e-05,-0.01132658311630818,9.151879157977008,,36.0,,,,,,,,
,1389,67,43,789,user_location_country,37,0.0482361411087113,2.907460272598066e-05,2.5021074265502673e-05,-0.012595392502646387,17.49500018617583,,37.0,,,,,,,,
,175,8,16,138,user_location_country,38,0.045714285714285714,1.0818456828271873e-05,3.152403165200121e-06,-0.015117247897071973,2.6455183819875954,,38.0,,,,,,,,
,42284,2055,1006,25169,user_location_country,39,0.0485999432409422,0.000680210473077594,0.0007616926596418394,-0.012231590370415484,517.2005672226483,,39.0,,,,,,,,
,968,110,22,695,user_location_country,40,0.11363636363636363,1.4875378138873826e-05,1.743729293664981e-05,0.052804830025005946,-51.11507546420575,,40.0,,,,,,,,
,1715,74,48,1275,user_location_country,41,0.04314868804664723,3.245537048481562e-05,3.089355101896118e-05,-0.017682845564710455,30.32608014347843,,41.0,,,,,,,,
,1371,80,87,879,user_location_country,42,0.058351568198395334,5.882535900372831e-05,2.4696827082796374e-05,-0.0024799654129623525,3.400032581171385,,42.0,,,,,,,,
,5880,229,203,3419,user_location_country,43,0.038945578231292514,0.0001372591710086994,0.00010592074635072405,-0.021885955380065172,128.6894176347832,,43.0,,,,,,,,
,14273,822,397,9257,user_location_country,44,0.05759125621803405,0.00026843296005149586,0.0002571100021537218,-0.0032402773933236373,46.248479234908274,,44.0,,,,,,,,
,8836,474,356,5654,user_location_country,45,0.0536441828881847,0.00024071066442904918,0.00015916933924404724,-0.007187350723172989,63.50743098995653,,45.0,,,,,,,,
,1064766,67867,38912,612816,user_location_country,46,0.06373888722968239,0.026310487006357196,0.019180409763414123,0.0029073536183247053,-3095.651282769123,,46.0,,,,,,,,
,17038,1069,730,9875,user_location_country,47,0.06274210588097194,0.0004935920927899042,0.00030691797216388377,0.0019105722696142538,-32.552330329687656,,47.0,,,,,,,,
,153864,7857,4029,92036,user_location_country,48,0.051064576509124944,0.002724222660069211,0.0027716649177734363,-0.009766957102232743,1502.7830875779387,,48.0,,,,,,,,
,2310,114,156,1496,user_location_country,49,0.04935064935064935,0.00010547995407565077,4.1611721780641594e-05,-0.011480884260708334,26.52084264223625,,49.0,,,,,,,,
,83541,6040,3485,52469,user_location_country,50,0.0722998288265642,0.0023563951279079675,0.0015048852161370474,0.011468295215206516,-958.0728505735675,,50.0,,,,,,,,
,1286,112,72,848,user_location_country,51,0.08709175738724728,4.868305572722343e-05,2.3165659831127744e-05,0.026260223775889595,-33.77064777579402,,51.0,,,,,,,,
,135204,6527,5148,69380,user_location_country,52,0.04827519895861069,0.003480838484496475,0.002435528671701241,-0.012556334652746998,1697.666670390005,,52.0,,,,,,,,
,100,9,12,76,user_location_country,53,0.09,8.113842621203904e-06,1.8013732372572118e-06,0.02916846638864231,-2.916846638864231,,53.0,,,,,,,,
,12635,858,856,7937,user_location_country,54,0.06790660862683023,0.0005787874403125452,0.00022760350852744872,0.007075075015472547,-89.39357282049563,,54.0,,,,,,,,
,212971,13264,10968,130378,user_location_country,55,0.062280780012302146,0.007416052155780369,0.0038364025971190565,0.0014492464009444594,-308.64745525554247,,55.0,,,,,,,,
,1260,94,64,713,user_location_country,56,0.0746031746031746,4.3273827313087493e-05,2.269730278944087e-05,0.013771640991816915,-17.352267649689313,,56.0,,,,,,,,
,66943,3161,1742,39836,user_location_country,57,0.047219276100563166,0.0011778594871781002,0.0012058932862170954,-0.01361225751079452,911.2453545451176,,57.0,,,,,,,,
,28052,1298,885,15747,user_location_country,58,0.04627121060886924,0.000598395893313788,0.000505321220515393,-0.014560323002488447,408.4461808658059,,58.0,,,,,,,,
,12790,717,433,8059,user_location_country,59,0.056059421422986706,0.00029277448791510755,0.0002303956370451974,-0.0047721121883709805,61.03531488926484,,59.0,,,,,,,,
,9048,528,267,6348,user_location_country,60,0.058355437665782495,0.00018053299832178688,0.00016298825050703252,-0.002476095945575192,22.40371611556434,,60.0,,,,,,,,
,4822,295,183,2775,user_location_country,61,0.06117793446702613,0.00012373609997335956,8.686221750054276e-05,0.00034640085566844253,-1.67034492603323,,61.0,,,,,,,,
,160983,8032,5829,87035,user_location_country,62,0.04989346701204475,0.003941299053249797,0.0028999046785337774,-0.010938066599312936,1760.8427753571943,,62.0,,,,,,,,
,142173,9641,6295,85929,user_location_country,63,0.06781175047301527,0.0042563866083732155,0.0025610663726056957,0.006980216861657583,-992.3983718724436,,63.0,,,,,,,,
,5630,394,342,4076,user_location_country,64,0.0699822380106572,0.0002312445147043113,0.00010141731325758103,0.009150704399299513,-51.51846576805626,,64.0,,,,,,,,
,7362,301,242,3408,user_location_country,65,0.040885628905188806,0.00016362915952761208,0.00013261709772687593,-0.01994590470616888,146.8417504468153,,65.0,,,,,,,,
,29684506,1695932,747269,17286018,user_location_country,66,0.05713189230772444,0.5052685884753684,0.5347287466960112,-0.003699641303633247,109822.02447554894,,66.0,,,,,,,,
,823,56,58,474,user_location_country,67,0.06804374240583232,3.921690600248554e-05,1.4825301742626853e-05,0.00721220879447463,-5.9356478378526205,,67.0,,,,,,,,
,386037,20039,13554,224154,user_location_country,68,0.05190953198786645,0.00916458524064981,0.006953967203910623,-0.008922001623491237,3444.2227407276864,,68.0,,,,,,,,
,2862805,160656,95305,1568117,user_location_country,69,0.0561183873857982,0.06444081425115318,0.051569803104861325,-0.004713146225559489,13492.818580262834,,69.0,,,,,,,,
,302365,13006,10779,161889,user_location_country,70,0.04301423775899989,0.007288259134496408,0.005446722188832768,-0.0178172958523578,5387.326660398166,,70.0,,,,,,,,
,122452,5180,3354,69343,user_location_country,71,0.042302289876849704,0.0022678190126264913,0.002205817556486201,-0.018529243734507983,2268.9429537779715,,71.0,,,,,,,,
,7808,406,353,5021,user_location_country,72,0.05199795081967213,0.0002386822037737482,0.0001406512223650431,-0.008833582791685557,68.97261443748083,,72.0,,,,,,,,
,1245,68,40,815,user_location_country,73,0.05461847389558233,2.7046142070679682e-05,2.2427096803852288e-05,-0.006213059715775356,7.735259346140317,,73.0,,,,,,,,
,8492,414,296,5132,user_location_country,74,0.04875176636834668,0.00020014145132302966,0.00015297261530788242,-0.012079767243011005,102.58138342764946,,74.0,,,,,,,,
,31839,1579,1090,19625,user_location_country,75,0.04959326612016709,0.0007370073714260214,0.0005735392250103237,-0.011238267491190598,357.81519865201744,,75.0,,,,,,,,
,4719,209,125,2564,user_location_country,76,0.04428904428904429,8.451919397087401e-05,8.500680306616782e-05,-0.0165424893223134,78.06400711199693,,76.0,,,,,,,,
,1348553,63356,34854,792023,user_location_country,77,0.046980726749337995,0.023566655893286742,0.024292472832229246,-0.013850806862019692,18678.54714619724,,77.0,,,,,,,,
,1168,84,57,688,user_location_country,78,0.07191780821917808,3.854075245071855e-05,2.1040039411164235e-05,0.011086274607820391,-12.948768741934217,,78.0,,,,,,,,
,1173,80,47,685,user_location_country,79,0.06820119352088662,3.177921693304863e-05,2.1130108073027096e-05,0.007369659909528932,-8.644611073877437,,79.0,,,,,,,,
,251930,11486,5525,153739,user_location_country,80,0.045592029532012864,0.003735748373512631,0.0045381995966220934,-0.015239504079344823,3839.2882627093413,,80.0,,,,,,,,
,403,25,32,271,user_location_country,81,0.062034739454094295,2.1636913656543747e-05,7.2595341461465635e-06,0.0012032058427366085,-0.4848919546228532,,81.0,,,,,,,,
,57039,1672,1177,31389,user_location_country,82,0.029313276880730727,0.0007958327304297497,0.001027485280799141,-0.031518256730626956,1797.769845658231,,82.0,,,,,,,,
,13931,946,537,8716,user_location_country,83,0.06790610867848683,0.00036309445729887477,0.00025094930568230216,0.007074575067129142,-98.55590526017608,,83.0,,,,,,,,
,127,10,17,79,user_location_country,84,0.07874015748031496,1.1494610380038866e-05,2.287744011316659e-06,0.017908623868957273,-2.2743952313575737,,84.0,,,,,,,,
,43175,3364,1960,27740,user_location_country,85,0.0779154603358425,0.0013252609614633046,0.0007777428951858012,0.01708392672448481,-737.5985363296318,,85.0,,,,,,,,
,277,21,21,203,user_location_country,86,0.07581227436823104,1.4199224587106834e-05,4.989803867202477e-06,0.014980740756873355,-4.149665189653919,,86.0,,,,,,,,
,14750,756,523,9107,user_location_country,87,0.05125423728813559,0.0003536283075741369,0.00026570255249543876,-0.009577296323222094,141.26512076752587,,87.0,,,,,,,,
,20,1,1,16,user_location_country,88,0.05,6.761535517669921e-07,3.6027464745144236e-07,-0.010831533611357684,0.21663067222715368,,88.0,,,,,,,,
,171,15,11,136,user_location_country,89,0.08771929824561403,7.437689069436913e-06,3.0803482357098324e-06,0.026887764634256343,-4.597807752457835,,89.0,,,,,,,,
,1123,116,62,707,user_location_country,90,0.10329474621549421,4.192152020955351e-05,2.022942145439849e-05,0.042463212604136526,-47.68618775444532,,90.0,,,,,,,,
,23031,1757,1610,15153,user_location_country,91,0.07628848074334592,0.0010886072183448573,0.00041487427027270843,0.015456947131988232,-355.98894939682094,,91.0,,,,,,,,
,5166,275,201,3344,user_location_country,92,0.0532326751838947,0.0001359068639051654,9.305894143670756e-05,-0.007598858427462989,39.255702636273796,,92.0,,,,,,,,
,129735,6874,4276,80486,user_location_country,93,0.05298493082051875,0.002891232587355658,0.0023370115693556437,-0.007846602790838937,1017.9790130694895,,93.0,,,,,,,,
,12,3,2,8,user_location_country,94,0.25,1.3523071035339842e-06,2.161647884708654e-07,0.18916846638864232,-2.2700215966637076,,94.0,,,,,,,,
,9016,679,439,6098,user_location_country,95,0.07531055900621118,0.00029683140922570953,0.0001624118110711102,0.014479025394853497,-130.54289295999914,,95.0,,,,,,,,
,1059,48,59,344,user_location_country,96,0.0453257790368272,3.989305955425253e-05,1.9076542582553873e-05,-0.01550575457453049,16.420594094427788,,96.0,,,,,,,,
,51,4,4,40,user_location_country,97,0.0784313725490196,2.7046142070679683e-06,9.18700351001178e-07,0.01759983893766192,-0.8975917858207579,,97.0,,,,,,,,
,1293,63,59,736,user_location_country,98,0.048723897911832945,3.989305955425253e-05,2.329175595773575e-05,-0.012107635699524742,15.655172959485492,,98.0,,,,,,,,
,10771,640,282,6961,user_location_country,99,0.059418809766966854,0.00019067530159829176,0.00019402591138497428,-0.0014127238443908327,15.21644852793366,,99.0,,,,,,,,
,1029,103,36,565,user_location_country,100,0.1000971817298348,2.4341527863611714e-05,1.8536130611376708e-05,0.03926564811847711,-40.40435191391295,,100.0,,,,,,,,
,2181,182,77,1354,user_location_country,101,0.083447959651536,5.206382348605839e-05,3.928795030457979e-05,0.022616426040178307,-49.326425193628886,,101.0,,,,,,,,
,67,7,5,31,user_location_country,102,0.1044776119402985,3.3807677588349602e-06,1.206920068962332e-06,0.04364607832894082,-2.9242872480390347,,102.0,,,,,,,,
,102866,5746,2675,64243,user_location_country,103,0.05585907880154765,0.0018087107509767038,0.0018530005942370034,-0.00497245480981004,511.4965364659195,,103.0,,,,,,,,
,19100,1029,1023,11380,user_location_country,104,0.05387434554973822,0.0006917050834576329,0.00034406228831612744,-0.0069571880616194695,132.88229197693187,,104.0,,,,,,,,
,8650,458,437,5166,user_location_country,105,0.05294797687861272,0.00029547910212217554,0.00015581878502274882,-0.007883556732744969,68.19276573824398,,105.0,,,,,,,,
,2293,151,200,1398,user_location_country,106,0.06585259485390318,0.0001352307103533984,4.1305488330307864e-05,0.005021061242545498,-11.513293429156827,,106.0,,,,,,,,
,4,0,1,3,user_location_country,107,0.0,6.761535517669921e-07,7.205492949028848e-08,-0.06083153361135769,0.24332613444543075,,107.0,,,,,,,,
,2845,132,81,1688,user_location_country,108,0.046397188049209136,5.476843769312636e-05,5.1249068599967676e-05,-0.014434345562148551,41.06571312431263,,108.0,,,,,,,,
,13098,547,401,7564,user_location_country,109,0.04176210108413498,0.00027113757425856384,0.00023594386661594962,-0.019069432527222707,249.77142724156303,,109.0,,,,,,,,
,52,5,12,43,user_location_country,110,0.09615384615384616,8.113842621203904e-06,9.367140833737501e-07,0.03532231254248847,-1.8367602522094006,,110.0,,,,,,,,
,908,47,89,503,user_location_country,111,0.051762114537444934,6.0177666107262295e-05,1.6356468994295484e-05,-0.009069419073912753,8.23503251911278,,111.0,,,,,,,,
,3661,149,136,2073,user_location_country,112,0.040699262496585634,9.195688304031093e-05,6.594827421598652e-05,-0.020132271114772053,73.70424455118048,,112.0,,,,,,,,
,142,13,21,104,user_location_country,113,0.09154929577464789,1.4199224587106834e-05,2.557949996905241e-06,0.030717762163290203,-4.3619222271872085,,113.0,,,,,,,,
,6859,396,335,4179,user_location_country,114,0.05773436360985566,0.00022651143984194234,0.00012355619034347217,-0.003097170001502024,21.243489040302382,,114.0,,,,,,,,
,141215,6886,4443,83430,user_location_country,115,0.04876252522749,0.003004150230500746,0.0025438092169927716,-0.012069008383867687,1704.3250189278754,,115.0,,,,,,,,
,1693,73,92,837,user_location_country,116,0.04311872415829888,6.220612676256328e-05,3.0497248906764597e-05,-0.01771280945305881,29.98778640402856,,116.0,,,,,,,,
,8065,360,179,4871,user_location_country,117,0.044637321760694355,0.00012103148576629159,0.00014528075158479412,-0.01619421185066333,130.60631857559977,,117.0,,,,,,,,
,3976,168,129,2398,user_location_country,118,0.04225352112676056,8.722380817794198e-05,7.162259991334674e-05,-0.018578012484597124,73.86617763875816,,118.0,,,,,,,,
,466925,16335,14378,219010,user_location_country,119,0.03498420517213685,0.009721735767305811,0.008411061988063236,-0.025847328439220836,12068.76383148319,,119.0,,,,,,,,
,13,1,5,7,user_location_country,120,0.07692307692307693,3.3807677588349602e-06,2.3417852084343753e-07,0.01609154331171924,-0.20919006305235013,,120.0,,,,,,,,
,694,59,52,481,user_location_country,121,0.08501440922190202,3.515998469188359e-05,1.250153026656505e-05,0.024182875610544337,-16.78291567371777,,121.0,,,,,,,,
,2535,159,228,1641,user_location_country,122,0.06272189349112427,0.0001541630098028742,4.566481156447032e-05,0.0018903598797665802,-4.7920622952082805,,122.0,,,,,,,,
,15818,825,420,9760,user_location_country,123,0.0521557719054242,0.0002839844917421367,0.00028494121866934574,-0.00867576170593349,137.23319866445593,,123.0,,,,,,,,
