user_location_city,interactions,bookings,unique_users,unique_bookers,segment_name,segment_value,booking_rate,share_of_users,share_of_interactions,gap_from_mean,potential_bookings,user_location_country,user_location_region
103,43,5,7,21,user_city,103,0.11627906976744186,2.1463339848990074e-06,7.745904920206011e-07,0.04480262894200354,-1.9265130445061522,66,254
104,341,18,34,184,user_city,104,0.05278592375366569,1.0425050783795178e-05,6.142682739047092e-06,-0.018690517071772626,6.373466321474465,66,184
105,58,2,6,38,user_city,105,0.034482758620689655,1.839714844199149e-06,1.0447964776091829e-06,-0.03699368220474866,2.1456335678754224,46,171
106,45,0,3,14,user_city,106,0.0,9.198574220995745e-07,8.106179567657454e-07,-0.07147644082543832,3.2164398371447245,69,664
108,1,0,1,0,user_city,108,0.0,3.066191406998582e-07,1.801373237257212e-08,-0.07147644082543832,0.07147644082543832,66,351
111,49,1,7,35,user_city,111,0.02040816326530612,2.1463339848990074e-06,8.826728862560337e-07,-0.0510682775601322,2.502345600446478,215,715
112,19,1,3,9,user_city,112,0.05263157894736842,9.198574220995745e-07,3.4226091507887023e-07,-0.0188448618780699,0.3580523756833281,182,376
113,9228,661,526,5871,user_city,113,0.07162982228001734,0.0001612816680081254,0.00016623072233409552,0.0001533814545790213,-1.4154040628552087,66,356
114,35,6,3,29,user_city,114,0.17142857142857143,9.198574220995745e-07,6.304806330400241e-07,0.09995213060313311,-3.498324571109659,63,429
116,161,10,14,91,user_city,116,0.062111801242236024,4.292667969798015e-06,2.900210911984111e-06,-0.009364639583202293,1.5077069728955692,66,318
117,19,3,3,17,user_city,117,0.15789473684210525,9.198574220995745e-07,3.4226091507887023e-07,0.08641829601666694,-1.6419476243166717,231,69
118,65,3,5,43,user_city,118,0.046153846153846156,1.533095703499291e-06,1.1708926042171877e-06,-0.02532259467159216,1.6459686536534905,202,168
119,73,2,3,29,user_city,119,0.0273972602739726,9.198574220995745e-07,1.3150024631977647e-06,-0.044079180551465716,3.217780180256997,133,20
120,14841,710,892,8346,user_city,120,0.04784044201873189,0.0002735042735042735,0.0002673418021413428,-0.02363599880670643,350.7818582903301,66,260
121,19,0,1,0,user_city,121,0.0,3.066191406998582e-07,3.4226091507887023e-07,-0.07147644082543832,1.358052375683328,133,25
122,11,0,2,9,user_city,122,0.0,6.132382813997164e-07,1.981510560982933e-07,-0.07147644082543832,0.7862408490798215,133,24
123,25,1,8,7,user_city,123,0.04,2.4529531255988656e-06,4.5034330931430294e-07,-0.031476440825438316,0.7869110206359579,66,351
124,4,1,1,4,user_city,124,0.25,3.066191406998582e-07,7.205492949028848e-08,0.1785235591745617,-0.7140942366982468,162,12
126,4,1,1,4,user_city,126,0.25,3.066191406998582e-07,7.205492949028848e-08,0.1785235591745617,-0.7140942366982468,133,24
127,43,1,3,3,user_city,127,0.023255813953488372,9.198574220995745e-07,7.745904920206011e-07,-0.048220626871949945,2.0734869554938475,1,436
128,12,0,2,8,user_city,128,0.0,6.132382813997164e-07,2.161647884708654e-07,-0.07147644082543832,0.8577172899052599,1,221
130,3047,236,177,1709,user_city,130,0.07745323268788973,5.42715879038749e-05,5.488784253922725e-05,0.005976791862451411,-18.21128480488945,66,143
131,209,10,22,141,user_city,131,0.04784688995215311,6.74562109539688e-06,3.7648700658675725e-06,-0.023629550873285207,4.938576132516609,66,467
133,346,33,11,244,user_city,133,0.0953757225433526,3.37281054769844e-06,6.232751400909953e-06,0.023899281717914278,-8.26915147439834,66,174
134,61,4,7,18,user_city,134,0.06557377049180328,2.1463339848990074e-06,1.0988376747268992e-06,-0.005902670333635035,0.3600628903517371,66,321
135,146,13,14,95,user_city,135,0.08904109589041095,4.292667969798015e-06,2.6300049263955293e-06,0.017564655064972637,-2.564439639486005,69,727
136,17405,1070,871,10471,user_city,136,0.061476587187589776,0.0002670652715495765,0.0003135290119446177,-0.00999985363784854,174.04745256675386,215,715
137,9,0,4,6,user_city,137,0.0,1.2264765627994328e-06,1.6212359135314905e-07,-0.07147644082543832,0.6432879674289449,66,258
138,94,8,5,62,user_city,138,0.0851063829787234,1.533095703499291e-06,1.6932908430217792e-06,0.013629942153285085,-1.281214562408798,63,451
139,12,0,1,9,user_city,139,0.0,3.066191406998582e-07,2.161647884708654e-07,-0.07147644082543832,0.8577172899052599,1,223
140,62,0,1,25,user_city,140,0.0,3.066191406998582e-07,1.1168514070994714e-06,-0.07147644082543832,4.431539331177175,133,23
141,103,3,13,46,user_city,141,0.02912621359223301,3.986048829098156e-06,1.8554144343749282e-06,-0.042350227233205306,4.362073405020147,66,256
142,202,7,19,52,user_city,142,0.034653465346534656,5.825763673297305e-06,3.638773939259568e-06,-0.03682297547890366,7.43824104673854,133,31
143,69,4,8,35,user_city,143,0.057971014492753624,2.4529531255988656e-06,1.2429475337074762e-06,-0.013505426332684693,0.9318744169552439,52,39
144,119,3,9,85,user_city,144,0.025210084033613446,2.7595722662987237e-06,2.1436341523360823e-06,-0.04626635679182487,5.50569645822716,231,60
146,2865,141,146,1790,user_city,146,0.049214659685863874,4.4766394542179294e-05,5.160934324741912e-05,-0.022261781139574444,63.78000296488078,66,471
147,63,2,4,38,user_city,147,0.031746031746031744,1.2264765627994328e-06,1.1348651394720434e-06,-0.03973040907940657,2.5030157720026143,1,389
149,10,3,2,9,user_city,149,0.3,6.132382813997164e-07,1.8013732372572118e-07,0.22852355917456169,-2.285235591745617,66,435
151,7182,439,510,4166,user_city,151,0.06112503480924533,0.00015637576175692768,0.00012937462589981296,-0.010351406016192985,74.34379800829802,66,258
152,1924,119,185,1041,user_city,152,0.061850311850311854,5.6724541029473766e-05,3.4658421084828755e-05,-0.009626128975126463,18.520672148143316,66,293
154,73,6,10,47,user_city,154,0.0821917808219178,3.066191406998582e-06,1.3150024631977647e-06,0.010715339996479487,-0.7822198197430025,69,834
155,4,0,1,0,user_city,155,0.0,3.066191406998582e-07,7.205492949028848e-08,-0.07147644082543832,0.28590576330175327,5,6
156,9,2,2,7,user_city,156,0.2222222222222222,6.132382813997164e-07,1.6212359135314905e-07,0.1507457813967839,-1.356712032571055,66,294
157,87,6,14,56,user_city,157,0.06896551724137931,4.292667969798015e-06,1.5671947164137742e-06,-0.0025109235840590077,0.21845035181313366,69,575
158,130,10,10,80,user_city,158,0.07692307692307693,3.066191406998582e-06,2.3417852084343753e-06,0.00544663609763861,-0.7080626926930194,69,656
159,1330,60,98,613,user_city,159,0.045112781954887216,3.0048675788586103e-05,2.3958264055520918e-05,-0.0263636588705511,35.06366629783297,69,552
160,916,44,65,596,user_city,160,0.048034934497816595,1.993024414549078e-05,1.650057885327606e-05,-0.023441506327621722,21.472419796101498,77,344
161,2,0,1,2,user_city,161,0.0,3.066191406998582e-07,3.602746474514424e-08,-0.07147644082543832,0.14295288165087663,163,164
162,58,3,7,36,user_city,162,0.05172413793103448,2.1463339848990074e-06,1.0447964776091829e-06,-0.019752302894403835,1.1456335678754224,148,328
164,16,1,2,2,user_city,164,0.0625,6.132382813997164e-07,2.882197179611539e-07,-0.008976440825438317,0.14362305320701307,46,408
165,2158,102,167,1115,user_city,165,0.047265987025023166,5.1205396496876315e-05,3.887363446001063e-05,-0.02421045380041515,52.2461593012959,66,435
166,293,9,29,178,user_city,166,0.030716723549488054,8.891955080295887e-06,5.27802358516363e-06,-0.040759717275950264,11.942597161853428,19,50
167,109,2,10,17,user_city,167,0.01834862385321101,3.066191406998582e-06,1.9634968286103608e-06,-0.05312781697222731,5.790932049972777,66,184
169,19,1,3,16,user_city,169,0.05263157894736842,9.198574220995745e-07,3.4226091507887023e-07,-0.0188448618780699,0.3580523756833281,46,172
170,56,0,2,26,user_city,170,0.0,6.132382813997164e-07,1.0087690128640386e-06,-0.07147644082543832,4.002680686224545,66,254
171,28,6,3,19,user_city,171,0.21428571428571427,9.198574220995745e-07,5.043845064320193e-07,0.14280927346027594,-3.9986596568877264,68,223
172,5,0,1,5,user_city,172,0.0,3.066191406998582e-07,9.006866186286059e-08,-0.07147644082543832,0.35738220412719157,148,468
173,12,1,4,7,user_city,173,0.08333333333333333,1.2264765627994328e-06,2.161647884708654e-07,0.011856892507895012,-0.14228271009474014,133,25
174,101,4,11,63,user_city,174,0.039603960396039604,3.37281054769844e-06,1.819386969629784e-06,-0.03187248042939871,3.21912052336927,46,336
175,5,0,1,4,user_city,175,0.0,3.066191406998582e-07,9.006866186286059e-08,-0.07147644082543832,0.35738220412719157,46,327
176,643,61,59,374,user_city,176,0.09486780715396578,1.8090529301291634e-05,1.1582829915563872e-05,0.023391366328527466,-15.04064854924316,181,387
177,2,1,1,2,user_city,177,0.5,3.066191406998582e-07,3.602746474514424e-08,0.4285235591745617,-0.8570471183491234,0,364
178,30,0,6,21,user_city,178,0.0,1.839714844199149e-06,5.404119711771636e-07,-0.07147644082543832,2.1442932247631497,46,171
179,297,10,7,161,user_city,179,0.03367003367003367,2.1463339848990074e-06,5.350078514653919e-06,-0.03780640715540465,11.22850292515518,68,335
180,67,5,6,44,user_city,180,0.07462686567164178,1.839714844199149e-06,1.206920068962332e-06,0.0031504248462034673,-0.2110784646956323,66,294
181,53,2,6,36,user_city,181,0.03773584905660377,1.839714844199149e-06,9.547278157463224e-07,-0.033740591768834545,1.788251363748231,214,118
182,1334,49,89,756,user_city,182,0.03673163418290855,2.7289103522287377e-05,2.4030318985011204e-05,-0.03474480664252977,46.34957206113471,3,64
183,13,0,1,0,user_city,183,0.0,3.066191406998582e-07,2.3417852084343753e-07,-0.07147644082543832,0.9291937307306981,133,19
184,663,65,80,492,user_city,184,0.09803921568627451,2.4529531255988655e-05,1.1943104563015314e-05,0.02656277486083619,-17.611119732734394,188,294
185,7,1,2,4,user_city,185,0.14285714285714285,6.132382813997164e-07,1.2609612660800483e-07,0.07138070203170453,-0.4996649142219317,46,408
186,234,12,6,42,user_city,186,0.05128205128205128,1.839714844199149e-06,4.2152133751818756e-06,-0.020194389543387037,4.725487153152566,46,172
187,191,9,15,87,user_city,187,0.04712041884816754,4.599287110497873e-06,3.4406228831612745e-06,-0.024356021977270777,4.652000197658718,66,352
188,27,1,5,15,user_city,188,0.037037037037037035,1.533095703499291e-06,4.863707740594472e-07,-0.03443940378840128,0.9298639022868346,1,448
189,2,1,1,2,user_city,189,0.5,3.066191406998582e-07,3.602746474514424e-08,0.4285235591745617,-0.8570471183491234,231,51
190,5857,157,206,2986,user_city,190,0.026805531842240056,6.316354298417079e-05,0.0001055064305061549,-0.04467090898319826,261.6375139145922,3,66
191,45,1,4,38,user_city,191,0.022222222222222223,1.2264765627994328e-06,8.106179567657454e-07,-0.04925421860321609,2.216439837144724,188,357
192,17,2,2,9,user_city,192,0.11764705882352941,6.132382813997164e-07,3.06233450333726e-07,0.04617061799809109,-0.7849005059675486,1,368
193,4,1,1,3,user_city,193,0.25,3.066191406998582e-07,7.205492949028848e-08,0.1785235591745617,-0.7140942366982468,54,47
194,1,0,1,1,user_city,194,0.0,3.066191406998582e-07,1.801373237257212e-08,-0.07147644082543832,0.07147644082543832,48,36
195,83,6,8,64,user_city,195,0.07228915662650602,2.4529531255988656e-06,1.4951397869234857e-06,0.0008127158010677038,-0.06745541148861942,23,82
197,49,3,9,27,user_city,197,0.061224489795918366,2.7595722662987237e-06,8.826728862560337e-07,-0.010251951029519951,0.5023456004464776,66,311
198,16,1,1,14,user_city,198,0.0625,3.066191406998582e-07,2.882197179611539e-07,-0.008976440825438317,0.14362305320701307,3,65
201,7,0,1,0,user_city,201,0.0,3.066191406998582e-07,1.2609612660800483e-07,-0.07147644082543832,0.5003350857780682,63,480
202,25,1,3,11,user_city,202,0.04,9.198574220995745e-07,4.5034330931430294e-07,-0.031476440825438316,0.7869110206359579,66,174
203,2,0,1,2,user_city,203,0.0,3.066191406998582e-07,3.602746474514424e-08,-0.07147644082543832,0.14295288165087663,46,398
204,137,15,22,92,user_city,204,0.10948905109489052,6.74562109539688e-06,2.4678813350423803e-06,0.0380126102694522,-5.207727606914951,66,318
205,2,1,1,2,user_city,205,0.5,3.066191406998582e-07,3.602746474514424e-08,0.4285235591745617,-0.8570471183491234,63,236
207,2295,136,175,1282,user_city,207,0.05925925925925926,5.3658349622475184e-05,4.1341515795053014e-05,-0.012217181566179056,28.038431694380932,66,356
208,74,2,11,37,user_city,208,0.02702702702702703,3.37281054769844e-06,1.3330161955703367e-06,-0.04444941379841129,3.289256621082435,66,435
210,682,31,40,302,user_city,210,0.045454545454545456,1.2264765627994328e-05,1.2285365478094185e-05,-0.02602189537089286,17.74693264294893,66,348
211,110,6,4,83,user_city,211,0.05454545454545454,1.2264765627994328e-06,1.981510560982933e-06,-0.016930986279983774,1.8624084907982152,133,12
212,5,2,2,5,user_city,212,0.4,6.132382813997164e-07,9.006866186286059e-08,0.3285235591745617,-1.6426177958728085,1,308
214,96,17,7,67,user_city,214,0.17708333333333334,2.1463339848990074e-06,1.7293183077669232e-06,0.10560689250789503,-10.138261680757923,52,48
216,334,21,33,203,user_city,216,0.06287425149700598,1.0118431643095321e-05,6.016586612439088e-06,-0.008602189328432333,2.873131235696399,66,314
217,3025,203,325,1498,user_city,217,0.06710743801652892,9.96512207274539e-05,5.449154042703066e-05,-0.004369002808909395,13.216233496950919,69,987
218,19,1,1,17,user_city,218,0.05263157894736842,3.066191406998582e-07,3.4226091507887023e-07,-0.0188448618780699,0.3580523756833281,133,27
219,245,8,7,204,user_city,219,0.0326530612244898,2.1463339848990074e-06,4.413364431280169e-06,-0.03882337960094852,9.511728002232386,3,78
220,32,2,6,8,user_city,220,0.0625,1.839714844199149e-06,5.764394359223078e-07,-0.008976440825438317,0.28724610641402615,3,62
221,8814,554,919,5290,user_city,221,0.0628545495802133,0.00028178299030316966,0.00015877303713185065,-0.008621891245225013,75.99334943541326,69,724
222,12,2,6,11,user_city,222,0.16666666666666666,1.839714844199149e-06,2.161647884708654e-07,0.09519022584122834,-1.1422827100947401,148,311
223,322,25,30,212,user_city,223,0.07763975155279502,9.198574220995745e-06,5.800421823968222e-06,0.006163310727356708,-1.9845860542088598,91,67
224,6,2,1,4,user_city,224,0.3333333333333333,3.066191406998582e-07,1.080823942354327e-07,0.261856892507895,-1.57114135504737,133,14
225,110,2,7,57,user_city,225,0.01818181818181818,2.1463339848990074e-06,1.981510560982933e-06,-0.053294622643620136,5.862408490798215,3,53
226,105,9,6,62,user_city,226,0.08571428571428572,1.839714844199149e-06,1.8914418991200725e-06,0.014237844888847398,-1.4949737133289769,68,480
227,1,0,1,1,user_city,227,0.0,3.066191406998582e-07,1.801373237257212e-08,-0.07147644082543832,0.07147644082543832,66,346
229,31,4,10,25,user_city,229,0.12903225806451613,3.066191406998582e-06,5.584257035497357e-07,0.05755581723907781,-1.784230334411412,32,988
230,243,23,16,149,user_city,230,0.09465020576131687,4.905906251197731e-06,4.377336966535025e-06,0.023173764935878555,-5.631224879418489,1,401
231,18,1,2,12,user_city,231,0.05555555555555555,6.132382813997164e-07,3.242471827062981e-07,-0.015920885269882765,0.2865759348578898,72,155
