hotel_cluster,interactions,bookings,unique_users,unique_bookers,segment_name,segment_value,booking_rate,share_of_users,share_of_interactions,gap_from_mean,potential_bookings,hotel_country,hotel_market
35,190745,7256,67561,119211,hotel_cluster,35,0.038040315604603005,0.004567590584980299,0.0034360293814062687,-0.014184258768396234,2705.5764387777394,105,29
36,648520,41067,140143,368903,hotel_cluster,36,0.06332418429655215,0.009474635475361438,0.011682265718260471,0.011099609923552911,-7198.319027622534,151,69
37,711100,40536,214499,429508,hotel_cluster,37,0.0570046406975109,0.014501615027718497,0.012809565090136033,0.00478006632451166,-3399.1051633602415,105,29
38,388612,16591,117977,231981,hotel_cluster,38,0.04269296882237296,0.007976060662870899,0.007000352564769996,-0.00953160555062628,3704.0962962399794,5,89
39,469274,36329,131812,299003,hotel_cluster,39,0.0774153266535116,0.008911402291076558,0.008453376245406409,0.02519075228051236,-11821.365085685158,50,365
40,589836,30704,196166,369636,hotel_cluster,40,0.052055147532534464,0.01326217750911392,0.010625147847708448,-0.00016942684046477446,99.93404987238071,105,29
41,1089502,50308,268613,663660,hotel_cluster,41,0.0461752250110601,0.01816009546636837,0.019625997447382068,-0.006049349361939141,6590.778228531418,50,675
42,777188,73948,216521,488449,hotel_cluster,42,0.0951481494824933,0.014638316203882706,0.01400005663517458,0.04292357510949406,-33359.68749219747,50,552
43,367846,32748,112298,224977,hotel_cluster,43,0.08902638604198496,0.00759212100934145,0.006626279398321163,0.03680181166898572,-13537.39921518972,204,1776
44,411344,11202,132771,244144,hotel_cluster,44,0.027232681162238905,0.008976237319732084,0.007409840729063305,-0.024991893210760334,10280.265320887,99,1308
45,414806,18532,80930,205694,hotel_cluster,45,0.04467630651437057,0.005471427392170863,0.00747220427053715,-0.0075482678586286656,3131.066797366322,50,628
46,830815,47448,149197,465257,hotel_cluster,46,0.05711018698506888,0.010086748457058151,0.014966079061118505,0.0048856126120696425,-4059.04024229664,151,69
47,610903,44618,189254,380052,hotel_cluster,47,0.07303614485442042,0.012794878533027363,0.011004643147601424,0.020811570481421182,-12713.850841811645,50,365
48,1054723,86362,279323,660554,hotel_cluster,48,0.08188121430934947,0.01888416549441915,0.01899949784919638,0.029656639936350232,-31279.540243587126,50,365
49,357345,24173,119930,207396,hotel_cluster,49,0.06764611230043795,0.008108096962103689,0.006437117194676783,0.015421537927438708,-5510.809470680585,50,627
50,691067,54974,202933,425896,hotel_cluster,50,0.07954945034273088,0.013719673482953288,0.012448695989516296,0.02732487596973164,-18883.320061774535,105,29
51,534613,30887,174736,319671,hotel_cluster,51,0.05777450230353545,0.011813361383891855,0.009630375504897898,0.005549927930536214,-2967.0636207277566,105,12
52,567318,8482,89603,254750,hotel_cluster,52,0.014951050380915112,0.006057782140376693,0.01021951462214287,-0.037273523992084126,21145.94108414118,163,1503
53,178472,5229,76280,113829,hotel_cluster,53,0.02929871352368999,0.00515705525114041,0.003214946843997691,-0.022925860849309247,4091.62423749792,151,1236
54,370753,21445,89102,211992,hotel_cluster,54,0.05784174369458912,0.006023911077439864,0.0066786453183282305,0.005617169321589885,-2082.5823774874148,50,633
55,623616,35672,185141,364787,hotel_cluster,55,0.057201867816091954,0.012516811303767524,0.011233651727253935,0.004977293443092716,-3103.919827807707,50,411
56,596157,28793,133664,337335,hotel_cluster,56,0.04829767997356401,0.009036610292192342,0.010739012650035476,-0.003926894399435228,2341.045584484107,50,675
57,431242,14597,105948,257106,hotel_cluster,57,0.033848743860755676,0.007162817117826746,0.007768277975812745,-0.018375830512243563,7924.429901760938,151,69
58,715256,32380,167653,416428,hotel_cluster,58,0.04527050454662387,0.011334501625844824,0.012884430161876443,-0.006954069826375371,4973.940167733943,185,185
59,844609,67426,228724,501074,hotel_cluster,59,0.07983102240208191,0.015463323351623481,0.015214560485465763,0.027606448029082672,-23316.654463395487,151,69
60,290392,8342,107528,181902,hotel_cluster,60,0.028726686685583626,0.00726963603886505,0.005231043771135963,-0.023497887687415613,6823.598601323994,105,770
61,573914,27908,152666,336263,hotel_cluster,61,0.048627494711751235,0.010321276834958074,0.010338333200872355,-0.003597079661248004,2064.414376705487,204,1762
62,760675,41195,169095,443977,hotel_cluster,62,0.05415584842409702,0.01143199079302029,0.013702595872506296,0.0019312740510977824,-1469.0718888188057,151,69
63,483156,15422,96803,244548,hotel_cluster,63,0.031919297287004614,0.006544551907133523,0.008703442878202454,-0.020305277085994625,9810.616455760819,50,368
64,1098152,48829,187895,609402,hotel_cluster,64,0.04446470069717125,0.01270300073955201,0.01978181623240482,-0.007759873675827991,8521.52079685786,105,770
65,1174823,21827,122637,513857,hotel_cluster,65,0.01857896891701984,0.008291108873021848,0.021162947107142293,-0.0336456054559794,39527.631138610086,8,126
66,497291,9622,70533,212338,hotel_cluster,66,0.01934883197162225,0.004768518327591591,0.008958066985288761,-0.03287574240137699,16348.810814523164,8,110
67,382043,22809,95510,223731,hotel_cluster,67,0.05970270362236712,0.0064571361698534425,0.00688202035681457,0.0074781292493678805,-2856.966932816253,5,89
68,736849,43370,202265,440961,hotel_cluster,68,0.05885873496469426,0.013674512065704183,0.013273400684997393,0.006634160591695019,-4888.374597829883,50,674
69,486488,18895,123953,296292,hotel_cluster,69,0.03883960138790679,0.008380079569279067,0.008763464634467864,-0.013384972985092447,6511.628737571655,50,675
70,782643,37341,189211,471482,hotel_cluster,70,0.04771140864992084,0.012791971435809232,0.01409832154526696,-0.004513165723078395,3532.1975610072445,50,675
71,326671,9279,81738,173760,hotel_cluster,71,0.02840472524344065,0.005526053777106907,0.005884563967880506,-0.02381984912955859,7781.253935002034,50,628
72,649800,44212,202647,397171,hotel_cluster,72,0.06803939673745768,0.013700337906107115,0.011705323295697363,0.015814822364458442,-10276.471572425096,50,411
73,502496,15064,149661,274696,hotel_cluster,73,0.029978348086352927,0.010118118064249147,0.009051828462288,-0.022246226286646312,11178.639724134626,50,214
74,74596,2503,13343,40638,hotel_cluster,74,0.03355407796664701,0.0009020790274772744,0.0013437523800643898,-0.01867049640635223,1392.744349928251,152,73
75,241534,11472,92510,140581,hotel_cluster,75,0.04749641872365795,0.006254315433704764,0.004350928834876834,-0.004728155649341287,1142.0103466079984,50,675
76,426754,19590,156617,269447,hotel_cluster,76,0.04590466638859858,0.010588391744465884,0.007687432344924642,-0.006319907984400658,2697.046011974918,50,633
77,575341,39251,181762,344027,hotel_cluster,77,0.06822214999452499,0.012288367547952062,0.010364038796968015,0.015997575621525748,-9204.061155664245,50,641
78,544355,25562,151748,322579,hotel_cluster,78,0.046958326827162424,0.010259213689696577,0.009805865285671496,-0.005266247545836815,2866.7081828139994,5,89
79,470604,21876,99180,240839,hotel_cluster,79,0.046484942754417724,0.0067052535370753265,0.008477334509461929,-0.005739631618581514,2701.093598230935,50,628
80,353096,7881,83766,172596,hotel_cluster,80,0.022319709087613566,0.005663160594743414,0.006360576845825724,-0.029904865285385673,10559.28831280854,50,1457
81,523892,31557,123736,300580,hotel_cluster,81,0.06023569743382224,0.008365408869364313,0.009437250280131553,0.008011123060823001,-4196.963282580684,151,69
82,752306,55170,164913,444999,hotel_cluster,82,0.07333452079340055,0.011149258686829032,0.01355183894628024,0.021109946420401315,-15881.139351746431,151,69
83,741936,33812,227097,453228,hotel_cluster,83,0.04557266394945116,0.015353326905718848,0.013365036541576667,-0.0066519104235480755,4935.291812005565,105,35
84,440607,10373,117509,228036,hotel_cluster,84,0.02354252202075773,0.007944420628031705,0.007936976579481883,-0.02868205235224151,12637.513040764075,50,627
85,514887,24221,132311,309192,hotel_cluster,85,0.0470413896641399,0.008945138140189287,0.00927503662011654,-0.00518318470885934,2668.7544251904587,151,69
86,295265,7843,87073,176425,hotel_cluster,86,0.02656257937784702,0.005886736652891308,0.005318824688987507,-0.025661994995152218,7577.08895224362,203,794
87,403674,6401,83423,198112,hotel_cluster,87,0.015856854788765192,0.005639971423910415,0.007271675401765677,-0.03636771958423404,14680.702835446093,8,110
88,180421,7291,43106,92703,hotel_cluster,88,0.04041103862632399,0.0029142635508083185,0.0032500556083918343,-0.01181353574667525,2131.4099329508954,50,628
89,356157,15353,127410,208605,hotel_cluster,89,0.043107393649429886,0.008613796664234395,0.006415716880618168,-0.009117180723569353,3247.14773496429,105,35
90,560114,24189,186007,340676,hotel_cluster,90,0.04318585145166877,0.012575358889602442,0.010089743694130859,-0.00903872292133047,5062.715250358095,105,29
91,1451980,122378,318632,919332,hotel_cluster,91,0.08428353007617184,0.021541725600175293,0.026155579130327265,0.032058955703172604,-46548.96250189256,50,411
92,381694,6522,93102,197434,hotel_cluster,92,0.017086985910179358,0.006294338725638103,0.006875733564216542,-0.03513758846281988,13411.80669072757,50,1457
93,283520,9095,122945,179899,hotel_cluster,93,0.032078865688487584,0.008311931801933112,0.0051072534022716465,-0.020145708684511654,5711.711326232744,50,365
94,397934,27866,137806,255012,hotel_cluster,94,0.07002668784270759,0.009316638121901618,0.007168276577947113,0.01780211346970835,-7084.066221454923,50,406
95,755022,55793,203161,446668,hotel_cluster,95,0.07389585998818578,0.013735087858900588,0.013600764243404145,0.02167128561518654,-16362.29740774937,50,680
96,578022,16948,154240,300568,hotel_cluster,96,0.02932068329579151,0.010427690114524081,0.01041233361345888,-0.02290389107720773,13238.952928229766,50,368
97,714054,29569,160515,416586,hotel_cluster,97,0.04141003341483977,0.010851923487635067,0.012862777655564612,-0.010814540958159466,7722.166229337599,105,35
98,894914,49601,200245,509474,hotel_cluster,98,0.05542543752807532,0.013537946103364073,0.016120741292468006,0.003200863155076082,-2864.497249561757,50,675
99,666676,39512,186913,386393,hotel_cluster,99,0.059267170259616364,0.012636610751919344,0.012009323043216889,0.007042595886617126,-4695.1296553063585,105,29
